"smart contracts","contract"
"smart contract","contract"
"internet things","iot" 
"iot iot","iot"
"iot devices","iot"
"iot device","iot"
"smart cities","city" 
"smart citie","city" 
"smart city","city" 
"access control","security" 
"secure","security" 
"security security","security"
"peer peer","peer2peer" 
"decentralized autonomous organizations","dao" 
"decentralized autonomous organization","dao"
"fog computing","fog"
"proof work","pow" 
"proofs work","pow" 
"supply chain","supply"
"machine learning","IA" 
"artificial intelligence","IA" 
"deep learning","IA" 
"reinforcement learning","IA" 
"smart grid","grid"
"applications", "application" 
