year,title,citations,authors,editorial
"2021","Blockchain and Banking","13","Dr. Pierluigi Martino","SPRINGER"
"2021","Introducing Blockchain with Lisp","1","Boro Sitnikovski","SPRINGER"
"2021","Sovereignty Blockchain 1.0","3","Prof. Lian Yuming","SPRINGER"
"2021","Blockchain Enabled Applications","9","Vikram Dhillon, David Metcalf, Max Hooper","SPRINGER"
"2021","Blockchain and Regulation","0","Stijn Van Hijfte","SPRINGER"
"2021","Blockchain Technology: Applications and Challenges","97","Sandeep Kumar Panda, Ajay Kumar Jena","SPRINGER"
"2021","Transforming Cybersecurity Solutions using Blockchain","15","Dr. Rashmi Agrawal, Dr. Neha Gupta","SPRINGER"
"2021","Blockchain Technology for IoT Applications","9","Prof. Seok-Won Lee, Irish Singh","SPRINGER"
"2021","Blockchain Gaps","3","Prof. Shin'ichiro Matsuo, Nat Sakimura","SPRINGER"
"2021","Fintech with Artificial Intelligence, Big Data, and Blockchain","19","Prof. Paul Moon Sub Choi","SPRINGER"
"2021","Blockchain for 5G-Enabled IoT","57","Dr. Sudeep Tanwar","SPRINGER"
"2021","Artificial Intelligence and Blockchain for Future Cybersecurity Applications","120","Prof. Yassine Maleh, Youssef Baddi","SPRINGER"
"2021","Blockchain Systems and Communication Networks: From Concepts to Implementation","6","Dr. Mubashir Husain Rehmani","SPRINGER"
"2021","Blockchain, Law and Governance","23","Dr. Benedetta Cappiello","SPRINGER"
"2021","Blockchain Technology and Innovations in Business Processes","8","Prof. Dr. Srikanta Patnaik","SPRINGER"
"2021","Applications of Blockchain in Healthcare","53","Dr. Suyel Namasudra","SPRINGER"
"2021","Coalescence of Artificial Intelligence with Blockchain: A Survey on Analytics Over Blockchain Data in Different Sectors","1","Tushar Singhal, M. S. Bhargavi, P. Hemavathi","SPRINGER"
"2021","Factors Affecting Blockchain in Fruit Retail Market: An Unveiling Myth of Blockchain","0","Kamal Imran Mohd Sharif","SPRINGER"
"2021","Blockchain Medicine Administration Records (BMAR): Reflections and Modelling Blockchain with UML","1","Ian Mitchell","SPRINGER"
"2021","Academic Blockchain: An Application of Blockchain Technology in Education System","3","Sakthi Kumaresh","SPRINGER"
"2021","Blockchain and Banking","13","Dr. Pierluigi Martino","SPRINGER"
"2021","Introducing Blockchain with Lisp","1","Boro Sitnikovski","SPRINGER"
"2021","Sovereignty Blockchain 1.0","3","Prof. Lian Yuming","SPRINGER"
"2021","Blockchain Enabled Applications","9","Vikram Dhillon, David Metcalf, Max Hooper","SPRINGER"
"2021","Blockchain and Regulation","0","Stijn Van Hijfte","SPRINGER"
"2021","Blockchain Technology: Applications and Challenges","97","Sandeep Kumar Panda, Ajay Kumar Jena","SPRINGER"
"2021","Transforming Cybersecurity Solutions using Blockchain","15","Dr. Rashmi Agrawal, Dr. Neha Gupta","SPRINGER"
"2021","Blockchain Technology for IoT Applications","9","Prof. Seok-Won Lee, Irish Singh","SPRINGER"
"2021","Blockchain Gaps","3","Prof. Shin'ichiro Matsuo, Nat Sakimura","SPRINGER"
"2021","Fintech with Artificial Intelligence, Big Data, and Blockchain","19","Prof. Paul Moon Sub Choi","SPRINGER"
"2021","Blockchain for 5G-Enabled IoT","57","Dr. Sudeep Tanwar","SPRINGER"
"2021","Artificial Intelligence and Blockchain for Future Cybersecurity Applications","120","Prof. Yassine Maleh, Youssef Baddi","SPRINGER"
"2021","Blockchain Systems and Communication Networks: From Concepts to Implementation","6","Dr. Mubashir Husain Rehmani","SPRINGER"
"2021","Blockchain, Law and Governance","23","Dr. Benedetta Cappiello","SPRINGER"
"2021","Blockchain Technology and Innovations in Business Processes","8","Prof. Dr. Srikanta Patnaik","SPRINGER"
"2021","Applications of Blockchain in Healthcare","53","Dr. Suyel Namasudra","SPRINGER"
"2021","Coalescence of Artificial Intelligence with Blockchain: A Survey on Analytics Over Blockchain Data in Different Sectors","1","Tushar Singhal, M. S. Bhargavi, P. Hemavathi","SPRINGER"
"2021","Factors Affecting Blockchain in Fruit Retail Market: An Unveiling Myth of Blockchain","0","Kamal Imran Mohd Sharif","SPRINGER"
"2021","Blockchain Medicine Administration Records (BMAR): Reflections and Modelling Blockchain with UML","1","Ian Mitchell","SPRINGER"
"2021","Academic Blockchain: An Application of Blockchain Technology in Education System","3","Sakthi Kumaresh","SPRINGER"
"2021","Blockchain-based multimedia security","1","","SPRINGER"
"2021","A Composite Chain Structure Blockchain Storage Method Based on Blockchain Technology","0","Junlu Wang, Su Li, Wenyuan Ma","SPRINGER"
"2021","Erratum zu: Ist Blockchain das Ende der Banken? Zur Bedeutung von Schulden und Banken in kapitalistischen Ökonomien","0","Barbara Brandl","SPRINGER"
"2021","Tangle the Blockchain: Toward IOTA and Blockchain Integration for IoT Environment","2","Hussein Hellani, Layth Sliman, Motaz Ben Hassine","SPRINGER"
"2021","Leverage from Blockchain in Commodity Exchange: Asset-Backed Token with Ethereum Blockchain Network and Smart Contract","1","Richard, Yaya Heryadi, Lukas","SPRINGER"
"2021","Designing and Developing Graphical User Interface for the MultiChain Blockchain: Towards Incorporating HCI in Blockchain","3","Tani Hossain, Tasniah Mohiuddin","SPRINGER"
"2021","Blockchain and Robotic Process Automation","0","Prof. Agnes Koschmider","SPRINGER"
"2021","Business Process Management: Blockchain and Robotic Process Automation Forum","32","Dr. José González Enríquez","SPRINGER"
"2021","Disintermediation Economics","6","Eva Kaili, Dimitrios Psarrakis","SPRINGER"
"2021","Blockchain and Trustworthy Systems","32","Dr. Hong-Ning Dai","SPRINGER"
"2021","Emerging Technologies in Data Mining and Information Security","103","Dr. Aboul Ella Hassanien","SPRINGER"
"2021","Financial Cryptography and Data Security. FC 2021 International Workshops","73","Matthew Bernhard, Dr. Andrea Bracciali","SPRINGER"
"2021","Trust Models for Next-Generation Blockchain Ecosystems","7","Muhammad Habib ur Rehman","SPRINGER"
"2021","Blockchain Applications in IoT Ecosystem","41","Tanupriya Choudhury, Abhirup Khanna","SPRINGER"
"2021","Advances in Artificial Intelligence and Security","28","Xingming Sun, Prof. Xiaorui Zhang","SPRINGER"
"2021","Foundations of Blockchain","2","Dr. Ahmed Imteaj, Dr. M. Hadi Amini","SPRINGER"
"2021","Internet of Things, Artificial Intelligence and Blockchain Technology","7","R.Lakshmana Kumar, Yichuan Wang","SPRINGER"
"2021","The Palgrave Handbook of FinTech and Blockchain","24","Maurizio Pompella, Roman Matousek","SPRINGER"
"2021","Intelligent Computing","54","Prof. Dr. Kohei Arai","SPRINGER"
"2021","Blockchain Technology for Managers","1","Dr. Gerald R. Gray","SPRINGER"
"2021","Innovations in Social Finance","3","Thomas Walker, Jane McGaughey","SPRINGER"
"2021","The Palgrave Handbook of Technological Finance","39","Prof. Raghavendra Rau, Robert Wardrop","SPRINGER"
"2021","Blockchain and the Public Sector","15","Christopher G. Reddick","SPRINGER"
"2021","Blockchain","2","Tatiana Gayvoronskaya, Prof. Dr. Christoph Meinel","SPRINGER"
"2021","Principles of Blockchain Systems","3","Antonio Fernández Anta, Chryssis Georgiou","SPRINGER"
"2021","Fault-Tolerant Distributed Transactions on Blockchain","9","Suyash Gupta, Jelle Hellings","SPRINGER"
"2021","Blockchain Intelligence","6","Prof. Dr. Zibin Zheng, Dr. Hong-Ning Dai","SPRINGER"
"2021","IoT Standards with Blockchain","1","Venkatesh Upadrista","SPRINGER"
"2021","Blockchain for International Security","3","Cindy Vestergaard","SPRINGER"
"2021","Blockchain Technology and Application","5","Ke Xu, Prof. Jianming Zhu","SPRINGER"
"2021","Financial Cryptography and Data Security","125","Prof. Nikita Borisov","SPRINGER"
"2021","Artificial Intelligence and Security","36","Prof. Dr. Xingming Sun","SPRINGER"
"2021","Protecting the Privacy of IoT-Based Health Records Using Blockchain Technology","1","Ahmet Ali Süzen, Burhan Duman","SPRINGER"
"2021","Blockchain in project management: a systematic review of use cases and a design decision framework","5","Rifat Sonmez, Ferda Özdemir Sönmez","SPRINGER"
"2021","Applying Blockchain in Agriculture: A Study on Blockchain Technology, Benefits, and Challenges","0","Sandeep Kumar M, Maheshwari V, Prabhu J","SPRINGER"
"2021","Correction to: Blockchain-assisted secured data management framework for health information analysis based on Internet of Medical Things","1","Asad Abbas, Roobaea Alroobaea, Moez Krichen","SPRINGER"
"2021","Blockchain Consortia for the Social Good: An Introduction for Non-Technical Audiences","0","Percy Venegas","SPRINGER"
