year,title,citations,authors,editorial
"2019","Introduction to Blockchain for Azure Developers","0","Stefano Tempesta","SPRINGER"
"2019","Blockchain in Swift","0","Elshad Karimov","SPRINGER"
"2019","UnBlock the Blockchain","6","Dr. Nitin Upadhyay","SPRINGER"
"2019","The Blockchain Developer","36","Elad Elrom","SPRINGER"
"2019","Zehn Jahre Blockchain – Bitcoin, Crypto Kitties und die digitale Blockchain-ID – Eine Reise","1","Boris Reinhard","SPRINGER"
"2019","Fusing Big Data, Blockchain and Cryptocurrency","8","Dr. Hossein Hassani, Dr. Xu Huang","SPRINGER"
"2019","Architecture for Blockchain Applications","138","Dr. Xiwei Xu, Dr. Ingo Weber","SPRINGER"
"2019","Applications of Blockchain Technology in Business","37","Mohsen Attaran, Angappa Gunasekaran","SPRINGER"
"2019","Legal Tech, Smart Contracts and Blockchain","52","Dr. Marcelo Corrales","SPRINGER"
"2019","Blockchain Technology in Internet of Things","14","Liehuang Zhu, Keke Gai","SPRINGER"
"2019","Online Film Production in China Using Blockchain and Smart Contracts","2","Patrice Poujol","SPRINGER"
"2019","Voting Process with Blockchain Technology: Auditable Blockchain Voting System","22","Michał Pawlak, Jakub Guziur","SPRINGER"
"2019","Introduction to Blockchain","0","Elshad Karimov","SPRINGER"
"2019","iOS Blockchain application using Swift","0","Elshad Karimov","SPRINGER"
"2019","Blockchain Consensus","0","","SPRINGER"
"2019","The Framework of the Integration of Carbon Footprint and Blockchain: Using Blockchain as a Carbon Emission Management Tool","15","Kun-Hsing Liu, Shih-Fang Chang","SPRINGER"
"2019","Blockchain Data Management","0","","SPRINGER"
"2019","Smart Blockchain","52","Prof. Meikang Qiu","SPRINGER"
"2019","Business Transformation through Blockchain","135","Horst Treiblmaier, Roman Beck","SPRINGER"
"2019","Business Process Management: Blockchain and Central and Eastern Europe Forum","219","Dr. Claudio Di Ciccio","SPRINGER"
"2019","Introduction to Blockchain for Azure Developers","0","Stefano Tempesta","SPRINGER"
"2019","Blockchain in Swift","0","Elshad Karimov","SPRINGER"
"2019","UnBlock the Blockchain","6","Dr. Nitin Upadhyay","SPRINGER"
"2019","The Blockchain Developer","36","Elad Elrom","SPRINGER"
"2019","Zehn Jahre Blockchain – Bitcoin, Crypto Kitties und die digitale Blockchain-ID – Eine Reise","1","Boris Reinhard","SPRINGER"
"2019","Fusing Big Data, Blockchain and Cryptocurrency","8","Dr. Hossein Hassani, Dr. Xu Huang","SPRINGER"
